YEAR,FILED,TOLID,OFFICE,CANAL,AREA,VARITE,AGE,Y,TON
1401,16-07,2,4,16,23.65,CP48,R2,NOT FOUND,NOT FOUND
1401,16-09,2,4,16,23.40,CP48,R2,NOT FOUND,NOT FOUND
1401,16-11,2,4,16,23.45,CP48,R2,NOT FOUND,NOT FOUND
1401,16-13,2,4,16,23.61,CP48,R2,9.28,219.21
1401,16-14,2,4,16,23.67,CP73,R2,NOT FOUND,NOT FOUND
1401,16-15,2,4,16,22.35,CP69,R1,32.51,726.70
1401,16-16,2,4,16,2.82,CP69,R2,22.78,64.25
1401,16-16,2,4,16,3.66,CP69,R6,18.67,68.33
1401,16-16,2,4,16,16.00,CP69,R1,27.47,439.50
1401,16-17,2,4,16,23.05,CP69,R1,17.30,398.72
1401,16-18,2,4,16,22.15,CP69,R2,14.23,315.19
1401,16-19,2,4,16,23.76,CP69,R2,NOT FOUND,NOT FOUND
1401,16-20,2,4,16,23.58,CP69,R2,10.41,245.47
1401,16-21,2,4,16,23.82,CP69,R1,NOT FOUND,NOT FOUND
1401,16-22,2,4,16,23.72,CP69,R2,14.81,351.28
1401,16-23,2,4,16,23.60,CP69,R1,NOT FOUND,NOT FOUND
1401,16-24,2,4,16,23.49,CP69,P,20.62,484.36
1401,16-25,2,4,16,23.60,CP69,R2,7.44,175.65
1401,16-26,2,4,16,23.49,CP69,P,30.81,723.76
1401,16-27,2,4,16,22.12,CP69,R2,3.61,79.92
1401,17-02,2,3,17,24.20,CP73,R2,32.21,779.39
1401,17-04,2,3,17,23.61,CP73,R2,19.20,453.40
1401,17-05,2,3,17,23.30,CP73,R2,NOT FOUND,NOT FOUND
1401,17-06,2,3,17,23.64,CP73,R2,NOT FOUND,NOT FOUND
1401,17-07,2,3,17,23.45,CP73,R2,NOT FOUND,NOT FOUND
1401,17-08,2,3,17,23.80,CP73,R2,NOT FOUND,NOT FOUND
1401,17-09,2,3,17,23.50,CP73,R2,35.41,832.18
1401,17-11,2,3,17,23.65,CP73,P,90.23,2133.88
1401,17-13,2,3,17,22.71,CP73,P,79.26,1799.93
1401,17-15,2,3,17,23.10,CP69,R2,33.19,766.75
1401,17-16,2,3,17,4.78,CP69,R2,40.59,194.00
1401,17-16,2,3,17,18.67,CP69,R1,43.16,805.73
1401,17-17,2,3,17,22.66,CP73,R2,NOT FOUND,NOT FOUND
1401,17-18,2,3,17,22.80,CP69,R2,47.64,1086.29
1401,17-19,2,3,17,5.91,CP48,R2,NOT FOUND,NOT FOUND
1401,17-19,2,3,17,17.19,CP48,R1,NOT FOUND,NOT FOUND
1401,17-20,2,3,17,23.34,CP73,R2,61.95,1445.99
1401,17-21,2,3,17,8.94,CP48,R2,NOT FOUND,NOT FOUND
1401,17-21,2,3,17,14.82,CP48,R1,NOT FOUND,NOT FOUND
1401,17-22,2,3,17,23.45,CP73,R2,34.94,819.42
1401,17-23,2,3,17,23.44,CP73,R1,39.81,933.07
1401,17-24,2,3,17,7.50,CP48,R1,40.39,302.92
1401,17-24,2,3,17,15.41,CP48,R2,37.09,571.56
1401,17-26,2,3,17,10.44,CP48,R1,NOT FOUND,NOT FOUND
1401,17-26,2,3,17,13.17,CP48,R2,NOT FOUND,NOT FOUND
1401,17-28,2,3,17,23.88,CP73,R2,43.44,1037.36
1401,18-01,2,4,18,23.80,CP48,R2,NOT FOUND,NOT FOUND
1401,18-02,2,4,18,23.90,CP73,R2,14.73,352.00
1401,18-03,2,4,18,23.81,CP48,R2,NOT FOUND,NOT FOUND
1401,18-04,2,4,18,23.61,CP73,R2,8.23,194.27
1401,18-05,2,4,18,23.35,CP48,R2,NOT FOUND,NOT FOUND
1401,18-07,2,4,18,23.61,CP48,R2,NOT FOUND,NOT FOUND
1401,18-09,2,4,18,23.20,CP48,R2,NOT FOUND,NOT FOUND
1401,18-11,2,4,18,23.40,CP48,R2,NOT FOUND,NOT FOUND
1401,18-13,2,4,18,4.68,IRC,R1,17.47,81.77
1401,18-13,2,4,18,18.96,CP48,R2,17.36,329.12
1401,18-15,2,4,18,22.28,CP69,R2,19.17,427.19
1401,18-16,2,4,18,22.40,CP73,R2,18.05,404.29
1401,18-17,2,4,18,22.87,CP69,R2,30.06,687.46
1401,18-19,2,4,18,23.56,CP69,R2,12.50,294.45
1401,18-20,2,4,18,23.53,CP69,R2,13.20,310.65
1401,18-21,2,4,18,23.54,CP69,R2,12.07,284.19
1401,18-22,2,4,18,23.60,CP69,R2,9.61,226.73
1401,18-23,2,4,18,23.51,CP69,R2,11.34,266.64
1401,18-24,2,4,18,23.55,CP69,R2,11.39,268.22
1401,18-25,2,4,18,23.55,CP69,R2,9.89,232.94
1401,18-26,2,4,18,23.56,CP69,R2,13.16,310.11
1401,18-27,2,4,18,12.43,CP69,R1,8.16,101.43
1401,18-28,2,4,18,22.58,CP69,R2,NOT FOUND,NOT FOUND
1401,19-02,2,3,19,24.25,CP69,R2,23.98,581.51
1401,19-03,2,3,19,5.72,CP73,R2,41.16,235.43
1401,19-03,2,3,19,17.59,CP69,R1,44.62,784.92
1401,19-04,2,3,19,23.43,CP69,R2,34.06,798.10
1401,19-05,2,3,19,9.86,CP73,R2,19.73,194.54
1401,19-05,2,3,19,13.44,CP73,R1,22.34,300.24
1401,19-07,2,3,19,23.67,CP73,R2,20.70,490.07
1401,19-09,2,3,19,4.83,CP69,R2,31.96,154.35
1401,19-09,2,3,19,18.43,CP69,R1,36.65,675.41
1401,19-10,2,3,19,23.71,IRC,R2,NOT FOUND,NOT FOUND
1401,19-11,2,3,19,6.03,CP69,R2,22.34,134.73
1401,19-11,2,3,19,17.58,CP69,R1,30.70,539.76
1401,19-13,2,3,19,6.21,CP69,R2,41.53,257.92
1401,19-13,2,3,19,17.37,CP69,R1,39.50,686.03
1401,19-15,2,3,19,23.27,CP73,R2,13.49,313.85
1401,19-16,2,3,19,22.98,CP73,R2,24.73,568.37
1401,19-17,2,3,19,22.70,CP73,R2,NOT FOUND,NOT FOUND
1401,19-18,2,3,19,22.54,CP73,R2,33.09,745.85
1401,19-19,2,3,19,23.79,CP73,R2,NOT FOUND,NOT FOUND
1401,19-20,2,3,19,16.81,CP73,R2,NOT FOUND,NOT FOUND
1401,19-21,2,3,19,23.25,CP57,R1,25.70,597.57
1401,19-22,2,3,19,12.45,CP73,R2,17.50,217.82
1401,19-23,2,3,19,23.61,CP73,R1,43.29,1022.19
1401,19-24,2,3,19,4.75,CP73,R2,43.41,206.20
1401,19-24,2,3,19,8.47,CP69,R1,51.12,433.01
1401,19-25,2,3,19,23.05,CP69,R1,65.78,1516.30
1401,19-26,2,3,19,2.45,CP73,R2,34.05,83.42
1401,19-26,2,3,19,12.02,CP69,R1,43.33,520.80
1401,19-27,2,3,19,10.75,CP69,R1,36.64,393.89
1401,20-01,2,4,20,24.19,CP69,R2,26.36,637.75
1401,20-02,2,4,20,23.88,CP73,R2,NOT FOUND,NOT FOUND
1401,20-03,2,4,20,23.50,CP69,R2,20.42,479.82
1401,20-04,2,4,20,23.60,CP73,R2,NOT FOUND,NOT FOUND
1401,20-05,2,4,20,23.66,CP69,R2,33.12,783.64
1401,20-06,2,4,20,23.15,CP73,R2,NOT FOUND,NOT FOUND
1401,20-07,2,4,20,23.35,CP69,R2,27.58,643.94
1401,20-08,2,4,20,23.25,CP73,R2,NOT FOUND,NOT FOUND
1401,20-09,2,4,20,22.15,CP69,R2,NOT FOUND,NOT FOUND
1401,20-10,2,4,20,23.50,CP73,R2,NOT FOUND,NOT FOUND
1401,20-11,2,4,20,8.14,CP69,R2,NOT FOUND,NOT FOUND
1401,20-11,2,4,20,10.98,IRC,R2,NOT FOUND,NOT FOUND
1401,20-13,2,4,20,16.07,IRC,R2,13.11,210.67
1401,20-15,2,4,20,12.92,CP69,R2,26.27,339.37
1401,20-16,2,4,20,22.20,CP69,R2,23.30,517.20
1401,20-17,2,4,20,11.00,CP69,R2,36.47,401.22
1401,20-18,2,4,20,22.03,CP69,R2,19.86,437.50
1401,20-19,2,4,20,9.70,CP69,R2,NOT FOUND,NOT FOUND
1401,20-21,2,4,20,7.36,CP69,R2,NOT FOUND,NOT FOUND
1401,20-23,2,4,20,7.91,CP69,R2,15.60,123.43
1401,20-24,2,4,20,23.20,CP69,R2,NOT FOUND,NOT FOUND
1401,20-25,2,4,20,3.50,CP69,R2,17.10,59.85
1401,20-26,2,4,20,23.62,CP69,R2,17.28,408.12
1401,20-28,2,4,20,23.71,CP69,P,33.23,787.79
1401,21-02,2,3,21,24.47,CP69,R2,36.76,899.57
1401,21-03,2,3,21,25.35,CP73,R2,NOT FOUND,NOT FOUND
1401,21-04,2,3,21,5.24,CP69,R2,26.40,138.33
1401,21-04,2,3,21,18.25,CP69,R1,39.33,717.75
1401,21-05,2,3,21,21.97,CP73,R2,NOT FOUND,NOT FOUND
1401,21-06,2,3,21,23.60,CP73,R2,NOT FOUND,NOT FOUND
1401,21-08,2,3,21,24.70,CP73,R2,NOT FOUND,NOT FOUND
1401,21-09,2,3,21,23.50,CP73,R2,NOT FOUND,NOT FOUND
1401,21-10,2,3,21,22.91,CP73,R2,NOT FOUND,NOT FOUND
1401,21-11,2,3,21,8.42,CP69,R2,26.92,226.70
1401,21-11,2,3,21,14.82,CP69,R1,34.74,514.92
1401,21-12,2,3,21,1.06,CP73,R2,47.80,50.67
1401,21-12,2,3,21,21.94,CP69,R1,39.68,870.68
1401,21-13,2,3,21,23.60,CP73,R2,NOT FOUND,NOT FOUND
1401,21-14,2,3,21,23.56,CP73,R2,NOT FOUND,NOT FOUND
1401,21-15,2,3,21,23.01,CP69,R1,45.14,1038.56
1401,21-16,2,3,21,19.67,CP73,R2,NOT FOUND,NOT FOUND
1401,21-17,2,3,21,11.79,CP69,R1,56.59,667.19
1401,22-05,2,4,22,15.51,CP69,R2,NOT FOUND,NOT FOUND
1401,22-07,2,4,22,12.96,CP69,R2,16.80,217.75
1401,22-09,2,4,22,8.91,CP69,R2,17.84,158.96
1401,22-11,2,4,22,8.66,CP69,R1,30.54,264.46
1401,22-13,2,4,22,8.68,CP69,R1,27.95,242.64
1401,22-15,2,4,22,8.35,CP69,R1,14.02,117.05
1401,22-17,2,4,22,7.93,CP69,R1,21.81,172.99
1401,22-19,2,4,22,7.01,CP69,R1,20.63,144.64
1401,22-21,2,4,22,7.60,IRC,R1,16.57,125.96
1401,22-21,2,4,22,0.10,CP69,R1,98.10,9.81
1401,23-01,2,3,23,13.26,CP69,R2,33.29,441.47
1401,23-03,2,3,23,15.53,CP69,R2,25.87,401.82
1401,23-07,2,3,23,22.59,CP69,R2,29.33,662.64
1401,23-09,2,3,23,23.24,CP69,R2,21.78,506.09
1401,23-11,2,3,23,22.16,CP69,R2,45.62,1010.86
1401,24-01,2,4,24,26.67,CP69,R2,19.57,521.88
1401,24-02,2,4,24,20.44,CP69,R2,21.06,430.40
1401,24-03,2,4,24,27.40,CP69,R2,11.48,314.61
1401,24-04,2,4,24,19.02,CP69,R2,20.07,381.65
1401,24-05,2,4,24,27.10,CP69,R2,14.23,385.52
1401,24-06,2,4,24,19.90,CP69,R2,13.07,260.07
1401,24-07,2,4,24,8.24,CP69,R2,23.84,196.44
1401,24-07,2,4,24,18.21,CP69,P,26.06,474.50
1401,24-09,2,4,24,27.40,CP69,R2,23.62,647.31
1401,24-11,2,4,24,2.88,CP69,R2,31.18,89.81
1401,24-11,2,4,24,24.39,CP69,P,34.56,842.94
1401,24-12,2,4,24,24.22,CP69,R2,19.89,481.83
1401,24-13,2,4,24,6.24,CP69,R2,18.25,113.87
1401,24-13,2,4,24,20.81,CP69,P,22.26,463.32
1401,24-14,2,4,24,24.25,CP69,R2,14.85,360.14
1401,24-17,2,4,24,27.00,CP69,R2,29.38,793.29
1401,24-19,2,4,24,27.25,CP69,R2,16.69,454.90
1401,25-05,2,3,25,21.82,CP69,R1,11.27,245.87
1401,25-07,2,3,25,22.89,CP69,R1,10.06,230.20
1401,25-09,2,3,25,26.03,CP69,P,11.76,306.01
1401,25-11,2,3,25,28.29,CP69,P,11.90,336.63
1401,25-13,2,3,25,30.70,CP69,R1,11.03,338.49
1401,25-15,2,3,25,19.25,CP69,R1,9.72,187.20
1401,26-01,2,4,26,16.77,CP69,R2,14.72,246.87
1401,26-02,2,4,26,24.23,CP69,R1,10.94,264.96
1401,26-03,2,4,26,17.07,CP69,R2,17.03,290.69
1401,26-04,2,4,26,24.78,CP69,R1,19.45,482.06
1401,26-05,2,4,26,17.51,CP69,R2,13.14,230.01
1401,26-06,2,4,26,24.50,CP69,R1,12.93,316.80
1401,26-07,2,4,26,17.40,CP69,R2,10.52,183.01
1401,26-08,2,4,26,24.75,CP69,R2,11.01,272.55
1401,26-10,2,4,26,24.88,CP69,R2,11.67,290.34
1401,26-12,2,4,26,24.90,CP69,R2,21.63,538.71
1401,26-14,2,4,26,24.50,CP69,R2,13.16,322.46
1401,26-16,2,4,26,24.98,CP69,R2,16.67,416.51
1401,26-18,2,4,26,24.29,CP69,R1,22.19,539.00
1401,26-19,2,4,26,9.17,CP69,R2,18.46,169.31
1401,26-20,2,4,26,11.03,CP69,R1,16.66,183.71
1401,26-20,2,4,26,13.82,CP69,R2,12.79,176.69
1401,26-22,2,4,26,20.09,CP69,R2,22.51,452.24
1401,27-01,2,3,27,31.95,CP69,R2,16.68,532.92
1401,27-02,2,3,27,24.98,CP69,R2,17.28,431.62
1401,27-03,2,3,27,31.30,CP69,R2,11.65,364.62
1401,27-04,2,3,27,24.20,CP69,R2,20.85,504.62
1401,27-05,2,3,27,25.98,CP69,R2,11.53,299.61
1401,27-06,2,3,27,25.40,CP69,R2,11.92,302.84
1401,27-07,2,3,27,18.80,CP69,R2,14.10,265.17
1401,27-08,2,3,27,19.20,CP69,R2,13.97,268.21
1401,29-02,2,3,29,19.04,CP69,R2,21.89,416.70
1401,29-04,2,3,29,20.13,CP69,R2,16.56,333.37
1401,30-01,2,4,30,22.56,CP69,R2,32.17,725.78
1403,01-18,1,1,1,22.49,CP69,R1,127.82,319.54
1403,01-20,1,1,1,23.32,CP69,R3,102.18,2382.87
1403,01-22,1,1,1,22.73,CP69,R4,97.47,2215.56
1403,02-01,1,2,2,24.79,CP69,R1,NOT FOUND,NOT FOUND
1403,02-03,1,2,2,24.69,CP69,R1,116.67,1632.22
1403,02-05,1,2,2,24.45,CP69,R1,114.50,2799.47
1403,02-07,1,2,2,21.67,CP69,R1,129.22,2800.30
1403,02-09,1,2,2,27.62,CP69,R1,116.26,3211.06
1403,02-11,1,2,2,25.36,CP69,R2,111.32,2823.16
1403,02-13,1,2,2,24.33,CP69,R2,99.57,2422.42
1403,02-15,1,2,2,21.73,CP69,R2,103.66,2252.52
1403,02-17,1,2,2,22.47,CP69,R2,96.79,2174.83
1403,02-33,1,2,2,24.87,CP69,R2,97.02,2412.97
1403,02-35,1,2,2,24.89,CP69,R2,89.64,2231.16
1403,02-37,1,2,2,16.76,CP69,R2,104.97,1759.28
1403,02-39,1,2,2,14.71,CP69,R2,82.62,1215.29
1403,03-10,1,1,3,23.5,CP69,R1,109.17,2043.63
1403,03-12,1,1,3,23.38,CP69,R3,102.23,2390.17
1403,03-14,1,1,3,23.08,CP69,R3,118.60,2737.24
1403,03-16,1,1,3,23.21,CP69,R1,137.78,3197.98
1403,03-18,1,1,3,22.47,CP69,R3,115.51,2595.51
1403,03-20,1,1,3,23.61,CP69,R3,111.06,2622.23
1403,03-22,1,1,3,23.11,CP69,R2,98.95,2286.79
1403,03-26,1,1,3,23,CP69,R3,106.61,2452.04
1403,03-28,1,1,3,23.84,CP69,R2,112.96,2693.03
1403,04-01,1,2,4,23.88,CP69,P,127.83,3052.48
1403,04-03,1,2,4,23.36,CP48,R1,90.30,2109.42
1403,04-05,1,2,4,23.59,CP57,R1,88.64,2091.05
1403,04-07,1,2,4,23.55,CP73,P,103.17,2429.54
1403,04-17,1,2,4,23.1,CP69,R3,84.21,1945.17
1403,04-19,1,2,4,23.82,CP69,R3,81.25,1935.44
1403,04-21,1,2,4,3.42,CP69,P,125.10,427.84
1403,04-21,1,2,4,9.36,CP69,R3,86.54,810.04
1403,04-23,1,2,4,8.06,CP69,R3,80.06,645.28
1403,04-25,1,2,4,7.21,CP69,R3,82.26,593.09
1403,04-27,1,2,4,7.99,CP69,R3,83.31,665.68
1403,04-29,1,2,4,12.36,CP69,R3,80.05,989.37
1403,04-31,1,2,4,11.24,CP69,R3,85.87,965.13
1403,04-33,1,2,4,13.9,CP69,R3,80.03,1112.36
1403,04-35,1,2,4,14.64,CP69,R3,91.80,1343.98
1403,04-37,1,2,4,10.16,CP69,R3,91.66,931.26
1403,05-01,1,1,5,24.58,CP69,R2,123.25,3029.56
1403,05-02,1,1,5,22.67,CP69,R2,115.99,2629.48
1403,05-03,1,1,5,24.11,CP69,R1,127.05,3063.18
1403,05-04,1,1,5,23.24,CP69,R5,97.06,2255.69
1403,05-05,1,1,5,22.67,CP69,R1,129.02,2924.78
1403,05-06,1,1,5,23.49,CP48,P,140.59,3302.47
1403,05-07,1,1,5,23.37,CP69,P,133.33,3116.00
1403,05-08,1,1,5,22.75,CP48,P,140.68,3200.53
1403,05-09,1,1,5,23.68,CP73,P,118.79,2813.05
1403,05-10,1,1,5,23.96,CP73,R1,106.73,2557.22
1403,05-11,1,1,5,23.77,CP73,P,119.06,2830.04
1403,05-12,1,1,5,23.35,CP73,R1,112.70,2631.63
1403,05-13,1,1,5,23.34,CP73,R1,108.96,2543.14
1403,05-14,1,1,5,17.36,CP73,P,120.10,2084.97
1403,05-14,1,1,5,5.54,IR01-412,P,102.64,102.64
1403,05-15,1,1,5,22.72,CP73,R3,106.09,2410.31
1403,05-18,1,1,5,22.62,CP69,R1,120.16,2558.24
1403,05-20,1,1,5,23.16,CP57,P,126.70,2389.59
1403,05-21,1,1,5,23.43,CP73,P,101.75,2384.04
1403,05-23,1,1,5,23.15,CP73,R1,84.26,1950.60
1403,05-24,1,1,5,23.58,CP73,P,107.88,2116.65
1403,05-25,1,1,5,23.57,CP69,R1,103.96,2450.22
1403,05-26,1,1,5,23.28,CP69,R5,59.80,1392.22
1403,05-27,1,1,5,23.04,CP69,P,124.41,1557.61
1403,05-28,1,1,5,22.21,CP69,R2,75.21,1670.40
1403,05-29,1,1,5,2.78,CP57,R4,58.71,163.22
1403,05-29,1,1,5,20.03,CP69,R3,60.53,1212.47
1403,06-01,1,2,6,23.68,CP69,R1,83.76,1983.48
1403,06-02,1,2,6,23.94,CP69,R1,120.17,2876.95
1403,06-03,1,2,6,23.31,CP48,P,111.94,2609.39
1403,06-04,1,2,6,23.39,CP48,P,104.63,2447.18
1403,06-05,1,2,6,23.51,CP57,P,110.53,2598.60
1403,06-06,1,2,6,23.55,CP73,R1,130.03,1337.97
1403,06-07,1,2,6,23.57,CP73,P,91.54,2157.56
1403,06-08,1,2,6,23.44,CP73,R1,93.31,2187.24
1403,06-09,1,2,6,23.62,CP73,P,107.31,2534.67
1403,06-11,1,2,6,23.39,CP73,P,112.06,2621.09
1403,06-12,1,2,6,23.15,CP73,R1,NOT FOUND,NOT FOUND
1403,06-13,1,2,6,23.51,CP73,P,111.25,2615.47
1403,06-15,1,2,6,22.27,CP69,R3,80.67,1796.51
1403,06-16,1,2,6,22.81,CP69,R2,92.04,2099.49
1403,06-17,1,2,6,22.23,CP69,P,103.02,2290.11
1403,06-18,1,2,6,22.81,CP69,P,114.52,2612.28
1403,06-20,1,2,6,16.91,CP69,R2,104.33,1764.28
1403,07-02,1,1,7,24.29,CP69,P,129.35,2496.53
1403,07-04,1,1,7,23.54,CP69,R3,103.00,2424.62
1403,07-06,1,1,7,23.32,CP48,R1,95.77,2233.45
1403,07-08,1,1,7,23.25,CP48,R1,99.02,2302.30
1403,07-12,1,1,7,23,CP73,P,124.90,2094.63
1403,07-14,1,1,7,23.44,CP73,R1,99.65,2335.83
1403,07-20,1,1,7,23.14,CP57,R1,79.05,1829.25
1403,07-24,1,1,7,11,CP69,R3,87.99,967.85
1403,08-01,1,2,8,23.71,CP48,R1,108.32,2568.37
1403,08-03,1,2,8,23.71,CP48,P,124.41,2949.73
1403,08-05,1,2,8,23.47,CP57,P,117.32,2753.44
1403,08-07,1,2,8,23.4,CP73,P,101.47,2374.51
1403,08-09,1,2,8,23.32,CP73,P,109.12,2544.64
1403,08-11,1,2,8,23.63,CP73,R1,80.29,1897.14
1403,08-13,1,2,8,23.74,CP73,R1,93.19,2212.37
1403,08-17,1,2,8,22.75,CP69,R3,102.77,2337.98
1403,08-21,1,2,8,23.76,CP69,R3,110.55,2213.24
1403,08-23,1,2,8,20.45,CP69,R3,103.47,2116.05
1403,08-23,1,2,8,3.05,CP69,R4,96.89,295.52
1403,08-27,1,2,8,23.56,CP69,R3,91.85,2164.00
1403,08-31,1,2,8,20.92,CP69,R3,98.01,2050.38
1403,09-02,1,1,9,24.48,CP69,R3,112.43,2752.35
1403,09-04,1,1,9,23.68,CP69,R3,100.62,2382.70
1403,09-06,1,1,9,23.72,CP48,P,119.62,2837.30
1403,09-08,1,1,9,23.45,CP48,P,107.43,2519.13
1403,09-12,1,1,9,23.25,CP69,R5,78.04,1814.34
1403,09-14,1,1,9,24.11,CP73,R1,103.03,1177.65
1403,09-16,1,1,9,22.82,CP73,R3,94.02,2145.52
1403,09-18,1,1,9,23.21,CP69,R3,89.80,2084.25
1403,09-22,1,1,9,23.74,CP73,R1,97.28,2309.38
1403,09-24,1,1,9,23.77,CP69,R3,81.46,1936.38
1403,09-26,1,1,9,23.6,CP69,R5,83.79,1977.48
1403,09-28,1,1,9,22.39,CP69,R5,80.39,1799.91
1403,09-30,1,1,9,13.79,CP69,P,119.52,1648.20
1403,09-32,1,1,9,14.28,CP69,R1,104.53,1492.64
1403,10-01,1,2,10,24.14,CP48,P,135.47,3270.25
1403,10-03,1,2,10,23.35,CP48,P,131.06,3060.31
1403,10-05,1,2,10,24.11,CP73,R1,99.98,2410.49
1403,10-07,1,2,10,23.68,CP73,P,111.38,2637.37
1403,10-09,1,2,10,23.9,CP73,R1,91.21,2179.83
1403,10-11,1,2,10,23.87,CP73,R1,102.77,2453.11
1403,10-13,1,2,10,23.34,CP73,P,122.72,2864.18
1403,10-17,1,2,10,22.7,CP69,R4,97.36,2210.16
1403,10-19,1,2,10,23.8,CP69,R4,104.91,2496.87
1403,10-21,1,2,10,23.6,CP69,R4,110.02,2596.47
1403,10-23,1,2,10,23.53,CP69,P,NOT FOUND,NOT FOUND
1403,10-25,1,2,10,23.33,CP69,P,112.82,2632.15
1403,10-27,1,2,10,23.52,CP69,P,107.54,2529.23
1403,10-29,1,2,10,23.49,CP69,R1,124.18,2297.42
1403,10-31,1,2,10,7.26,CP69,P,118.77,862.25
1403,11-02,1,1,11,23.37,CP69,R3,110.40,2580.11
1403,11-04,1,1,11,23.13,CP69,R3,111.63,2581.89
1403,11-06,1,1,11,23,CP69,R4,123.85,2848.44
1403,11-08,1,1,11,8.68,CP69,R4,97.77,848.68
1403,11-08,1,1,11,14.5,CP69,R5,92.85,1346.28
1403,11-10,1,1,11,2.77,CP48,R4,84.45,233.93
1403,11-10,1,1,11,19.67,CP73,R3,92.16,1812.88
1403,11-16,1,1,11,22.53,CP69,P,141.55,3189.18
1403,11-18,1,1,11,22.21,CP69,R1,126.84,2817.22
1403,11-20,1,1,11,22.9,CP57,R1,103.87,1451.04
1403,11-22,1,1,11,22.99,CP73,R2,101.01,2322.29
1403,11-24,1,1,11,22.82,CP73,R2,96.96,2212.62
1403,11-26,1,1,11,22.89,CP69,R2,119.33,2731.49
1403,11-28,1,1,11,20.48,CP69,R1,123.91,2537.61
1403,11-30,1,1,11,9.52,CP69,R5,110.23,1049.39
1403,12-02,1,2,12,23.93,CP48,R1,116.67,2792.01
1403,12-04,1,2,12,23.43,CP48,R1,106.96,2506.15
1403,12-06,1,2,12,23.52,CP73,R1,106.45,2503.64
1403,12-08,1,2,12,23.42,CP73,R1,91.74,2125.58
1403,12-10,1,2,12,23.45,CP73,P,133.10,3121.18
1403,12-12,1,2,12,23.44,CP73,P,130.06,3048.63
1403,12-13,1,2,12,22.86,CP69,P,153.15,3501.00
1403,12-14,1,2,12,23.54,CP73,P,128.30,3020.22
1403,12-15,1,2,12,20.1,CP69,R4,110.79,2226.80
1403,12-16,1,2,12,22.2,CP69,R4,75.69,1680.30
1403,12-17,1,2,12,22.49,CP69,P,125.36,2819.34
1403,12-18,1,2,12,22.91,CP69,R4,97.47,2232.95
1403,12-19,1,2,12,23.34,CP73,P,122.36,2855.97
1403,12-20,1,2,12,23.5,CP69,R4,73.46,1726.35
1403,12-21,1,2,12,23.42,CP69,R1,NOT FOUND,NOT FOUND
1403,12-23,1,2,12,13.17,CP69,R3,73.48,967.75
1403,12-23,1,2,12,10.49,CP69,R4,78.58,824.34
1403,12-26,1,2,12,23.47,CP69,P,100.34,2354.99
1403,13-02,1,1,13,23.57,CP69,P,123.16,2902.87
1403,13-04,1,1,13,23.06,CP69,R3,107.95,2489.23
1403,13-06,1,1,13,10,CP69,R3,107.20,1071.97
1403,13-06,1,1,13,12.79,CP69,R5,94.37,1207.04
1403,13-08,1,1,13,10,CP69,R3,113.40,1134.00
1403,13-08,1,1,13,12.73,CP69,R5,100.65,1281.28
1403,13-10,1,1,13,22.65,CP69,R5,100.77,2282.55
1403,13-12,1,1,13,22.83,CP69,R6,87.44,1996.23
1403,13-14,1,1,13,22.93,CP69,R5,100.33,2300.65
1403,13-16,1,1,13,22.65,CP69,P,150.91,3418.20
1403,13-18,1,1,13,22.21,CP69,R1,129.36,2873.09
1403,13-20,1,1,13,22.71,CP69,P,142.18,3228.92
1403,13-22,1,1,13,22.79,CP73,R1,107.28,2444.92
1403,13-24,1,1,13,22.6,CP69,R5,78.17,1766.56
1403,13-26,1,1,13,22.91,CP69,R6,88.84,2035.42
1403,13-28,1,1,13,15.19,CP69,R5,107.81,1637.61
1403,14-01,2,4,14,24,CP48,P,119.45,2866.79
1403,14-02,2,4,14,24.21,CP69,R4,87.78,2125.07
1403,14-03,2,4,14,23.5,CP48,R1,109.44,2571.82
1403,14-04,2,4,14,23.48,CP69,R4,81.79,1920.46
1403,14-05,2,4,14,23.54,CP48,R1,102.95,2423.50
1403,14-06,2,4,14,23.4,CP69,R4,85.37,1997.65
1403,14-07,2,4,14,23.79,CP57,R1,78.25,1861.64
1403,14-08,2,4,14,23.74,CP73,R3,77.51,1840.14
1403,14-09,2,4,14,23.62,CP73,R1,99.80,2118.66
1403,14-10,2,4,14,23.82,CP69,R4,98.31,2341.85
1403,14-11,2,4,14,23.77,CP73,R1,101.22,2164.13
1403,14-12,2,4,14,23.52,CP69,R4,91.26,2146.51
1403,14-13,2,4,14,23.97,CP73,R1,103.70,2485.67
1403,14-14,2,4,14,23.8,CP69,R4,78.31,1863.87
1403,14-15,2,4,14,22.37,CP69,R4,101.03,2260.01
1403,14-16,2,4,14,22.38,CP69,R4,88.78,1986.84
1403,14-17,2,4,14,10.98,CP69,R4,87.25,957.98
1403,14-17,2,4,14,11.5,CP69,R3,88.08,1012.90
1403,14-20,2,4,14,23.47,CP69,R3,72.72,1706.75
1403,14-22,2,4,14,23.82,CP69,R4,61.10,1455.29
1403,14-23,2,4,14,23.5,CP69,P,123.17,1788.50
1403,14-25,2,4,14,23.55,CP69,P,107.53,2532.32
1403,14-26,2,4,14,10.61,CP69,R4,87.03,923.42
1403,14-26,2,4,14,12.29,CP69,R3,87.38,1073.93
1403,14-27,2,4,14,18.76,CP69,P,101.99,1913.34
1403,15-01,2,3,15,24.17,CP69,R1,122.10,2150.14
1403,15-03,2,3,15,23.61,CP69,R1,118.35,2138.50
1403,15-05,2,3,15,23.51,CP69,R1,102.31,2405.33
