YEAR,FILED,TOLID,OFFICE,CANAL,AREA,VARITE,AGE,Y,TON
1400,22-21,2,4,22,7.60,IRC,P,16.03,123.45
1400,22-21,2,4,22,0.10,CP69,P,NOT FOUND,NOT FOUND
1400,23-01,2,3,23,13.26,CP69,R1,52.43,695.26
1400,23-03,2,3,23,15.53,CP69,R1,45.53,707.12
1400,23-05,2,3,23,14.50,CP69,R1,37.78,547.76
1400,23-07,2,3,23,22.59,CP69,R1,67.47,1524.09
1400,23-09,2,3,23,23.24,CP69,R1,69.07,1605.29
1400,23-11,2,3,23,22.16,CP69,R1,72.68,1610.49
1400,23-13,2,3,23,11.70,CP69,R1,66.84,782.05
1400,23-15,2,3,23,3.07,CP69,R1,69.10,212.14
1400,24-01,2,4,24,26.90,CP69,R1,41.47,1115.55
1400,24-02,2,4,24,20.55,CP69,R1,31.36,644.45
1400,24-03,2,4,24,27.40,CP69,R1,39.18,1073.40
1400,24-04,2,4,24,19.02,CP69,R1,29.15,554.49
1400,24-05,2,4,24,27.10,CP69,R1,31.36,849.73
1400,24-06,2,4,24,19.90,CP69,R1,24.72,491.83
1400,24-07,2,4,24,8.24,CP69,R1,51.63,425.42
1400,24-07,2,4,24,0.00,CP69,R2,NOT FOUND,NOT FOUND
1400,24-08,2,4,24,21.52,CP69,R1,20.65,444.33
1400,24-09,2,4,24,27.40,CP69,R1,23.50,644.02
1400,24-10,2,4,24,23.60,CP69,R1,36.86,870.00
1400,24-11,2,4,24,2.88,CP69,R1,51.50,148.31
1400,24-11,2,4,24,0.00,CP69,R2,NOT FOUND,NOT FOUND
1400,24-12,2,4,24,24.22,CP69,R1,53.53,1296.54
1400,24-13,2,4,24,6.24,CP69,R1,31.94,199.29
1400,24-13,2,4,24,0.00,CP69,R2,NOT FOUND,NOT FOUND
1400,24-14,2,4,24,24.25,CP69,R1,60.41,1464.83
1400,24-15,2,4,24,9.75,CP69,R1,31.96,311.62
1400,24-15,2,4,24,17.54,CP69,R2,27.36,479.82
1400,24-17,2,4,24,27.00,CP69,R1,38.01,1026.34
1400,24-19,2,4,24,27.25,CP69,R1,45.94,1251.80
1400,24-21,2,4,24,22.20,CP69,R1,48.23,1070.63
1400,25-01,2,3,25,4.17,CP69,R1,29.95,124.88
1400,25-03,2,3,25,13.74,CP69,R8,26.67,366.45
1400,25-05,2,3,25,21.82,CP69,P,49.58,366.92
1400,25-07,2,3,25,22.89,CP69,P,41.78,914.50
1400,25-09,2,3,25,0.00,CP69,R7,NOT FOUND,NOT FOUND
1400,25-11,2,3,25,0.00,CP69,R7,NOT FOUND,NOT FOUND
1400,25-13,2,3,25,30.70,CP69,P,43.96,1349.42
1400,25-15,2,3,25,19.25,CP69,P,43.81,843.29
1400,26-01,2,4,26,17.44,CP69,R1,32.41,565.30
1400,26-02,2,4,26,24.80,CP69,P,60.73,1506.18
1400,26-03,2,4,26,17.07,CP69,R1,29.54,504.30
1400,26-04,2,4,26,24.78,CP69,P,58.32,1445.18
1400,26-05,2,4,26,17.51,CP69,R1,39.95,699.54
1400,26-06,2,4,26,24.50,CP69,P,61.55,1507.92
1400,26-07,2,4,26,17.40,CP69,R1,35.91,624.77
1400,26-08,2,4,26,24.75,CP69,R1,41.24,1020.80
1400,26-09,2,4,26,16.76,CP69,R1,54.68,697.74
1400,26-10,2,4,26,24.88,CP69,R1,41.59,1034.69
1400,26-11,2,4,26,16.91,CP69,R1,30.60,517.40
1400,26-12,2,4,26,24.90,CP69,R1,39.63,986.87
1400,26-13,2,4,26,17.21,CP69,R1,32.28,555.56
1400,26-14,2,4,26,24.50,CP69,R1,29.38,719.87
1400,26-15,2,4,26,16.70,CP69,R1,28.07,468.80
1400,26-16,2,4,26,24.98,CP69,R1,29.38,701.63
1400,26-17,2,4,26,16.70,CP69,R1,21.85,364.87
1400,26-18,2,4,26,24.29,CP69,P,60.35,1405.50
1400,26-19,2,4,26,9.17,CP69,R1,52.29,427.20
1400,26-20,2,4,26,13.82,CP69,R1,37.04,511.94
1400,26-20,2,4,26,11.03,CP69,P,60.44,597.12
1400,26-21,2,4,26,13.35,CP69,R1,NOT FOUND,NOT FOUND
1400,26-22,2,4,26,20.09,CP69,R1,38.76,739.92
1400,27-01,2,3,27,31.95,CP69,R1,41.90,1338.64
1400,27-02,2,3,27,24.98,CP69,R1,41.65,1040.47
1400,27-03,2,3,27,31.30,CP69,R1,35.56,1113.06
1400,27-04,2,3,27,24.20,CP69,R1,47.14,1140.89
1400,27-05,2,3,27,25.98,CP69,R1,32.11,834.24
1400,27-06,2,3,27,25.40,CP69,R1,40.33,1024.49
1400,27-07,2,3,27,18.80,CP69,R1,38.16,717.40
1400,27-08,2,3,27,19.20,CP69,R1,36.98,710.05
1400,29-02,2,3,29,19.85,CP69,R1,40.46,803.21
1400,29-04,2,3,29,20.13,CP69,R1,44.25,890.80
1400,30-01,2,4,30,22.56,CP69,R1,47.10,1062.61
1401,01-20,1,1,01,23.32,CP69,R1,30.77,717.57
1401,01-22,1,1,01,22.73,CP69,R2,22.86,519.72
1401,01-24,1,1,01,22.37,CP69,R1,27.13,606.85
1401,01-26,1,1,01,24.42,CP69,R9,38.96,951.37
1401,01-28,1,1,01,22.65,CP69,R9,36.33,822.80
1401,01-30,1,1,01,23.11,CP69,R9,39.61,915.36
1401,01-32,1,1,01,22.40,CP69,R9,37.86,848.11
1401,02-03,1,2,02,24.96,CP69,R3,NOT FOUND,NOT FOUND
1401,02-05,1,2,02,24.70,CP69,R3,NOT FOUND,NOT FOUND
1401,02-11,1,2,02,25.36,CP69,P,19.15,485.53
1401,02-13,1,2,02,24.33,CP69,P,21.54,523.99
1401,02-15,1,2,02,21.73,CP69,P,15.53,337.51
1401,02-17,1,2,02,22.47,CP69,P,25.55,574.21
1401,02-19,1,2,02,24.59,CP69,R1,22.47,552.49
1401,02-21,1,2,02,25.07,CP69,R1,30.73,770.52
1401,02-23,1,2,02,24.56,CP69,R1,14.83,364.29
1401,02-25,1,2,02,24.96,CP69,R1,30.58,763.30
1401,02-27,1,2,02,24.94,CP69,R1,11.36,283.44
1401,02-29,1,2,02,25.01,CP69,R1,35.62,890.84
1401,02-31,1,2,02,24.45,CP69,R1,31.06,759.51
1401,02-33,1,2,02,24.87,CP69,P,24.57,611.16
1401,02-35,1,2,02,24.89,CP69,P,32.82,816.78
1401,02-37,1,2,02,16.76,CP69,P,32.23,540.14
1401,02-39,1,2,02,14.71,CP69,P,36.20,532.46
1401,03-08,1,1,03,7.00,CP69,R1,34.98,244.85
